lng,lat
113.9539948,22.51985931
113.9441986,22.50511932
113.9565277,22.52158546
113.9546967,22.57842445
113.9650269,22.57160378
113.957283,22.52147293
113.9447327,22.50064278
113.9538498,22.51935959
113.9538574,22.52269936
113.9504013,22.54574394
113.9445572,22.51604462
113.9320679,22.5511322
113.9565887,22.57426834
113.9451447,22.49845886
113.9442978,22.51639748
113.9485779,22.52432442
113.946022,22.5203495
113.9445877,22.50474167
113.9422531,22.51557159
113.9530869,22.5742588
113.9499741,22.57777405
113.9534378,22.57793617
113.9546509,22.58383942
113.9550095,22.57835579
113.9446487,22.55182648
113.9531097,22.51874161
113.9453506,22.49950218
114.016716,22.60238457
113.9450773,22.54959709
113.9878082,22.56663895
113.9502106,22.52395821
113.9840727,22.56880478
113.9472122,22.52476501
113.9465179,22.522686
113.9457321,22.52033043
113.949173,22.51569748
113.9946518,22.56720161
113.9454575,22.51584625
113.9440918,22.51229477
113.9494858,22.51572609
113.9463272,22.51575661
113.980629,22.57025719
113.9458084,22.55446243
113.9461822,22.52145651
113.9471283,22.4922905
113.9545975,22.52236557
113.9463196,22.49425888
113.9441223,22.50871277
113.9168436,22.55147459
113.9444962,22.50733566
113.9471436,22.49157143
113.9457245,22.5774231
113.9556503,22.52171516
113.9448853,22.50211525
113.9443893,22.51438904
113.9524002,22.51684761
113.9504318,22.51615524
113.945549,22.49618721
113.9864349,22.56704521
113.946106,22.49417114
113.9452515,22.49753952
113.9431992,22.51554298
113.9592438,22.52123451
113.9866257,22.56727028
113.9481315,22.57276781
113.9514694,22.5158329
113.9496536,22.57162285
113.9452209,22.55244255
113.9444962,22.50206566
113.983139,22.56874657
113.9859695,22.56776237
113.9527435,22.51849556
114.016716,22.60238457
113.9522629,22.51708221
113.9478302,22.52430725
113.9478378,22.49057198
113.9485088,22.54941351
113.9575195,22.57427788
113.94561,22.49752235
113.9452515,22.55134964
113.9462128,22.5245533
113.9849091,22.56775284
113.9530334,22.57388687
113.9485358,22.55306001
113.9456406,22.55351067
113.9434891,22.55199623
113.9457855,22.55669022
113.9887924,22.56567383
113.9655457,22.57054329
113.9660263,22.57429123
113.9460115,22.55566341
113.9547348,22.58007622
113.9573212,22.52170753
113.9459229,22.49560165
113.9461899,22.49359131
113.950676,22.51594353
113.9507217,22.51573563
113.9443817,22.50320625
113.974472,22.57263565
113.9542618,22.57391548
113.9408875,22.57401085
113.9909058,22.56524467
113.9458694,22.50359726
113.9545135,22.52069283
113.9450531,22.50099182
113.9440613,22.50973892
113.9444504,22.51142693
113.9884567,22.56634331
113.9910965,22.56806374
113.9497833,22.51590729
113.9874573,22.56734467
113.9498138,22.57423592
113.9450836,22.55137062
113.9693585,22.54663475
113.9450912,22.55040932
113.9695358,22.57370186
113.9486705,22.54626759
