lng,lat
114.258415,22.587143
114.271692,22.582462
114.248009,22.561447
114.250232,22.607938
114.252449,22.563347
114.310257,22.608185
114.249207,22.562214
114.232658,22.561275
114.248009,22.561447
114.309868,22.601429
114.257876,22.601248
114.251671,22.604218
114.242027,22.558249
114.240707,22.560066
114.240692,22.560658
114.241295,22.558168
114.2631,22.597164
114.244887,22.565142
114.241119,22.561354
114.264443,22.597553
114.262688,22.597532
114.270929,22.596835
114.252558,22.59002
114.271324,22.581978
114.311432,22.607813
114.236839,22.559982
114.251442,22.568026
114.25032,22.59993
114.272914,22.583388
114.311954,22.607371
114.253334,22.602341
114.244423,22.556931
114.268555,22.596872
114.241829,22.557365
114.240417,22.552832
114.230156,22.56278
114.235558,22.555456
114.246689,22.614237
114.263107,22.597227
114.240601,22.563377
114.262131,22.59767
114.242479,22.553394
114.256462,22.594826
114.253998,22.602701
114.240433,22.563524
114.24765,22.613605
114.238068,22.559958
114.247498,22.567102
114.310257,22.608185
114.250031,22.56278
114.241447,22.552794
114.276482,22.596272
114.256416,22.570566
114.247833,22.569155
114.266327,22.593258
114.230095,22.56222
114.275187,22.595453
114.267021,22.593796
114.248695,22.569088
114.248154,22.566109
114.23262,22.561247
114.241203,22.561693
114.244492,22.567261
114.241928,22.566629
114.239677,22.560266
114.246486,22.569147
114.245201,22.565411
114.267426,22.590328
114.24221,22.562849
114.250008,22.56963
114.229164,22.56181
114.235085,22.56106
114.228462,22.562737
114.239326,22.556911
114.276527,22.596262
114.271217,22.591982
114.234589,22.561577
114.253899,22.566252
114.233452,22.561529
114.232727,22.560978
114.250762,22.56893
114.241852,22.563053
114.232727,22.562057
114.248421,22.569935
114.241463,22.56078
114.234985,22.561556
114.231667,22.562042
114.240501,22.55757
114.273346,22.595127
114.242783,22.554516
114.261185,22.598921
114.242332,22.555113
114.240479,22.561129
114.244339,22.567083
114.24321,22.564547
114.262787,22.599007
114.270714,22.595776
114.244255,22.559067
114.241684,22.554865
114.243962,22.554337
114.243874,22.558023
114.245453,22.556848
114.250427,22.560879
114.242332,22.560404
114.251579,22.564174
114.240431,22.556548
114.239632,22.555351
114.239708,22.556061
114.238678,22.553429
114.238777,22.554171
114.239128,22.555914
114.238174,22.555326
114.239357,22.556768
114.242386,22.562418
114.23645,22.558743
114.243521,22.564491
114.238441,22.558111
114.242294,22.562618
114.256996,22.573521
114.241745,22.564873
114.2397,22.56176
114.239067,22.561802
114.242249,22.561489
114.241417,22.561674
114.240158,22.556276
114.237213,22.558376
114.241318,22.556829
114.261029,22.591931
114.26767,22.582428
114.239563,22.558744
114.26561,22.59477
114.261559,22.59931
114.250114,22.569048
114.263145,22.595802
114.259079,22.597
114.246872,22.560715
114.243546,22.559483
114.269821,22.597099
114.266159,22.597317
114.243187,22.559748
114.241043,22.555956
114.258301,22.601694
114.273201,22.591732
114.246223,22.562077
114.264005,22.597074
114.240341,22.55522
114.242188,22.555597
114.248291,22.558964
114.252602,22.56312
114.24202,22.556183
114.247314,22.567244
114.242081,22.557425
114.247421,22.560841
114.241241,22.555374
114.251389,22.562037
114.243683,22.557283
114.252693,22.563322
114.243515,22.558361
114.242699,22.557856
114.254654,22.567043
114.251022,22.561684
114.243256,22.557861
114.237389,22.554667
114.241676,22.556662
114.241127,22.55584
114.247917,22.560776
114.240189,22.556198
114.252678,22.563654
114.248383,22.55905
114.265778,22.596243
114.267822,22.593386
114.268656,22.596977
114.267662,22.593487
114.266876,22.594204
114.272469,22.593975
114.27092,22.595568
114.272159,22.593173
114.270485,22.590828
114.27301,22.594902
114.268585,22.592175
114.269536,22.59314
114.265373,22.595724
114.249641,22.567659
114.274246,22.595621
114.267868,22.591572
114.239197,22.560812
114.249163,22.570031
114.248474,22.568804
114.240341,22.560102
114.24852,22.568775
114.231354,22.561281
114.240547,22.563343
114.240997,22.563147
114.270081,22.594025
114.238426,22.555084
114.265564,22.598257
114.239281,22.555483
114.238319,22.561256
114.245689,22.567459
114.235725,22.561367
114.268112,22.590805
114.278351,22.594107
114.272156,22.596426
114.240479,22.561356
114.236856,22.561029
114.239906,22.562576
114.239388,22.56105
114.237167,22.559093
114.236771,22.560181
114.268449,22.583429
114.240219,22.556358
114.244774,22.567381
114.238823,22.554787
114.242111,22.562227
114.251091,22.56356
114.246201,22.560139
114.255226,22.568233
114.243523,22.558311
114.237984,22.555098
114.24781,22.561073
114.252129,22.569942
114.258415,22.601624
114.244492,22.554239
114.251122,22.569164
114.273346,22.596134
114.244087,22.554245
114.244911,22.554506
114.258361,22.602316
114.274567,22.596817
114.2575,22.598211
114.247925,22.567738
114.274315,22.595601
114.253097,22.569889
114.243782,22.553677
114.265358,22.596535
114.271953,22.59606
114.273315,22.596083
114.270902,22.59636
114.243149,22.552841
114.246117,22.556673
114.242027,22.560396
114.241249,22.558163
114.245435,22.555455
114.260193,22.596369
114.242622,22.558493
114.263527,22.59886
114.241249,22.558016
114.240456,22.552761
114.26482,22.597436
114.26931,22.593521
114.275146,22.595436
114.249237,22.560404
114.26915,22.593499
114.260498,22.600071
114.272123,22.592273
114.255165,22.594632
114.267542,22.597194
114.242584,22.559505
114.261238,22.596073
114.241028,22.559025
114.265358,22.596535
114.255363,22.600264
114.264465,22.59551
114.271315,22.592448
114.24115,22.560053
114.259521,22.591953
114.266869,22.581139
114.24044,22.559498
114.242996,22.561192
114.271019,22.590881
114.268755,22.590029
114.266266,22.593969
114.239487,22.552032
114.267395,22.59337
114.272186,22.58992
114.234726,22.561617
114.267306,22.592933
114.266967,22.594316
114.266426,22.593424
114.269974,22.590157
114.266632,22.593397
114.267616,22.59046
114.26614,22.591909
114.256172,22.591084
114.270103,22.590963
114.268988,22.591305
114.267448,22.593191
114.243965,22.560852
114.235649,22.561346
114.245453,22.602564
114.263679,22.579258
114.235519,22.561394
114.241257,22.561724
114.236244,22.559355
114.23127,22.559469
114.234894,22.561865
114.23515,22.558765
114.260536,22.587402
114.233788,22.557058
114.233891,22.557274
114.2332,22.55756
114.234543,22.556324
114.235733,22.561546
114.234592,22.558267
114.230659,22.559643
114.236488,22.554026
114.231361,22.559317
114.230309,22.560038
114.236053,22.554716
114.253169,22.590112
114.249235,22.596193
114.255397,22.588394
114.267387,22.586317
114.256516,22.587769
114.250214,22.593148
114.252576,22.590821
114.254619,22.589024
114.251654,22.592327
114.257104,22.587568
114.251157,22.593148
114.258812,22.586592
114.251947,22.591747
114.253998,22.5975
114.253852,22.589495
114.258812,22.586592
114.264626,22.593746
114.269218,22.580494
114.254624,22.58791
114.262245,22.579086
114.250411,22.594825
114.237999,22.557693
114.272346,22.582996
114.254387,22.596905
114.258797,22.57435
114.255112,22.596716
114.263321,22.59141
114.258987,22.586756
114.253044,22.590485
114.274459,22.584539
114.240044,22.559168
114.263283,22.59152
114.257843,22.572634
114.263603,22.579712
114.258286,22.573399
114.265242,22.580585
114.256813,22.571892
114.269306,22.583824
114.265978,22.581277
114.271278,22.584956
114.249702,22.566195
114.259879,22.575404
114.267991,22.582971
114.24807,22.565273
114.249199,22.565891
114.253937,22.587164
114.250854,22.566896
114.263802,22.580332
114.250717,22.593992
114.262886,22.579109
114.237312,22.559969
114.269821,22.580868
114.247925,22.565004
114.23951,22.552498
114.258911,22.586624
114.253983,22.569855
114.250496,22.602381
114.237762,22.552717
114.251678,22.567141
114.234779,22.560343
114.254486,22.588181
114.260712,22.587429
114.256111,22.58794
114.255684,22.595576
114.260086,22.596382
114.238632,22.558216
114.274522,22.588377
114.267281,22.578924
114.24707,22.60183
114.247215,22.564329
114.239136,22.55201
114.238697,22.552284
114.254524,22.570143
114.264938,22.591068
114.234642,22.559103
114.270744,22.581917
114.233856,22.559261
114.240692,22.5604
114.233337,22.559772
114.230003,22.560289
114.25341,22.591345
114.228119,22.561733
114.227821,22.559717
114.238258,22.558458
114.245293,22.565016
114.260481,22.576372
114.266808,22.590733
114.250877,22.58596
114.233902,22.558208
114.270713,22.581494
114.28363,22.591112
114.270309,22.58539
114.227037,22.562364
114.270157,22.594597
114.254303,22.586325
114.237076,22.557289
114.258804,22.574661
114.275321,22.585232
114.27636,22.590921
114.237488,22.556967
114.227873,22.563048
114.233703,22.558767
114.233056,22.558826
114.273445,22.583689
114.258858,22.594707
114.267632,22.582741
114.258255,22.573343
114.245393,22.572335
114.257452,22.580801
114.260452,22.57634
114.254501,22.570066
114.275742,22.590696
114.256462,22.586742
114.258041,22.573572
114.245049,22.56443
114.25779,22.572903
114.246887,22.560616
114.253555,22.569044
114.275375,22.590263
114.255737,22.570974
114.250523,22.575782
114.255987,22.579572
114.254883,22.568958
114.254285,22.578362
114.255516,22.568863
114.26368,22.579863
114.246515,22.571682
114.266068,22.581404
114.244858,22.565434
114.261635,22.599056
114.259178,22.593098
114.266518,22.595234
114.259753,22.594886
114.311811,22.598929
114.316521,22.602224
114.267601,22.590393
114.309654,22.602582
114.267228,22.594758
114.263039,22.591536
114.272034,22.594147
114.241753,22.556753
114.234038,22.560877
114.271683,22.594009
114.267487,22.597399
114.314523,22.607195
114.26873,22.589767
114.320778,22.605627
114.248543,22.604231
114.247609,22.611824
114.266586,22.595261
114.275231,22.590937
114.240609,22.553811
114.27285,22.595451
114.265179,22.596827
114.251094,22.607111
114.267616,22.590511
114.257301,22.594156
114.267632,22.590652
114.28096,22.593683
114.312569,22.598007
114.2593,22.592817
114.274666,22.584543
114.314793,22.60838
114.23407,22.562305
114.26545,22.597198
114.248222,22.610109
114.312126,22.59915
114.32058,22.604427
114.32341,22.605379
114.318085,22.604006
114.313614,22.600508
114.31712,22.603167
114.313049,22.599977
114.319595,22.605185
114.269886,22.596727
114.237808,22.554287
114.310478,22.599413
114.322281,22.605768
114.250501,22.605568
114.314743,22.605516
114.31205,22.605713
114.313374,22.599129
114.315224,22.600372
114.315186,22.600746
114.229927,22.561258
114.229759,22.562885
114.310505,22.609081
114.314552,22.600111
114.265053,22.591259
114.306801,22.606817
114.256424,22.570627
114.308044,22.605818
114.305471,22.605877
114.307793,22.602438
114.229698,22.561968
114.308935,22.606901
114.305891,22.604034
114.256317,22.592906
114.308319,22.60556
114.305786,22.605188
114.30706,22.606632
114.311043,22.606464
114.309776,22.604002
114.310181,22.605864
114.252043,22.600951
114.251713,22.601498
114.251273,22.605878
114.284607,22.591078
114.247788,22.60365
114.283586,22.592373
114.250208,22.607964
114.249477,22.608696
114.251246,22.592906
114.282127,22.593273
114.250659,22.607497
114.244476,22.559513
114.2435,22.564899
114.279388,22.593214
114.249085,22.599937
114.309212,22.602182
114.25473,22.586927
114.252198,22.595033
114.255224,22.598453
114.232666,22.56167
114.254211,22.602832
114.311348,22.604218
114.249684,22.60496
114.253616,22.588774
114.309845,22.602976
114.280861,22.593473
114.256616,22.599984
114.265198,22.596067
114.253196,22.586717
114.249809,22.608563
114.254372,22.601789
114.264685,22.596911
114.310501,22.599623
114.310669,22.598078
114.310722,22.608734
114.230515,22.561899
114.254425,22.588511
114.249565,22.608854
114.311604,22.597319
114.266487,22.595881
114.311119,22.604673
114.316391,22.604993
114.315689,22.605562
114.311829,22.599871
114.314735,22.606064
114.31366,22.606012
114.314346,22.608305
114.311566,22.604962
114.316704,22.607485
114.318153,22.60632
114.315636,22.608196
114.312279,22.605862
114.261093,22.594019
114.312859,22.607491
114.249107,22.60465
114.311806,22.599607
114.30912,22.602192
114.318275,22.605797
114.317444,22.604927
114.240585,22.553844
114.264938,22.596363
114.263338,22.597303
114.260422,22.585726
114.243355,22.56015
114.267769,22.579275
114.276067,22.591413
114.25824,22.573311
114.258408,22.573605
114.232269,22.558426
114.263321,22.578333
114.230263,22.562389
114.319267,22.604551
114.25563,22.567411
